ul060095.fits,2011-12-06 17:14:31.992,62072,62534
ul060096.fits,2011-12-06 17:22:14.016,62534,62998
ul060099.fits,2011-12-06 17:41:24.0,63684,64147
ul060100.fits,2011-12-06 17:49:6.996,64147,64610
ul060103.fits,2011-12-06 18:7:30.0,65250,65713
ul060104.fits,2011-12-06 18:15:12.996,65713,66176
ul060107.fits,2011-12-06 18:33:33.012,66813,67276
ul060108.fits,2011-12-06 18:41:16.008,67276,67739
ul060111.fits,2011-12-06 18:59:36.996,68377,68839
ul060112.fits,2011-12-06 19:7:18.984,68839,69303
ul060115.fits,2011-12-06 19:26:8.988,69969,70431
ul060116.fits,2011-12-06 19:33:51.012,70431,70895
ul060119.fits,2011-12-06 19:52:10.992,71531,71993
ul060120.fits,2011-12-06 19:59:53.016,71993,72456
ul060123.fits,2011-12-06 20:30:27.0,73827,74289
ul060124.fits,2011-12-06 20:38:8.98799999999,74289,74752
ul060127.fits,2011-12-06 20:56:22.992,75383,75846
ul060128.fits,2011-12-06 21:4:5.988,75846,76309
