ul060093.fits,2011-12-0617:4:0.0119999999944,61440,61753
ul060094.fits,2011-12-0617:9:12.996,61753,62066
ul060097.fits,2011-12-0617:30:42.984,63043,63355
ul060098.fits,2011-12-0617:35:54.996,63355,63669
ul060101.fits,2011-12-0617:56:53.016,64613,64926
ul060102.fits,2011-12-0618:2:6.0,64926,65239
ul060105.fits,2011-12-0618:22:59.988,66180,66492
ul060106.fits,2011-12-0618:28:12.0,66492,66805
ul060109.fits,2011-12-0618:49:8.004,67748,68060
ul060110.fits,2011-12-0618:54:20.016,68060,68373
ul060113.fits,2011-12-0619:15:19.008,69319,69632
ul060114.fits,2011-12-0619:20:31.992,69632,69945
ul060117.fits,2011-12-0619:41:43.008,70903,71215
ul060118.fits,2011-12-0619:46:54.984,71215,71528
ul060121.fits,2011-12-0620:7:51.996,72472,72784
ul060122.fits,2011-12-0620:13:4.008,72784,73098
ul060125.fits,2011-12-0620:45:55.008,74755,75067
ul060126.fits,2011-12-0620:51:6.984,75067,75381
